sanskrit_devanagari,sanskrit_roman,english_name,english_aliases,classical_synonyms,source_text,source_verse_ids,source_example,ambiguity_notes,verification_status,verified_by
कामला,Kamala,jaundice-like disorder,jaundice,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0201|BPN_0346|BPN_0416|BPN_0614|BPN_0635|BPN_0789,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || रसायनी, संग्राहिणी, बल्या-अग्निनदीपिनी, दोषत्रय-आम-तृड्दाह-मेह-कास-पाण्डु-कामला-कुष्ठ-वाता-अस्र-ज्वर-क्रिमि-वमी-हर",Classical category; etiology may differ,PROVISIONAL_TEST_ONLY,
कास,Kasa,cough,coughing disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0014|BPN_0016|BPN_0019|BPN_0022|BPN_0026|BPN_0035|BPN_0038|BPN_0056|BPN_0070|BPN_0074|BPN_0075|BPN_0078|BPN_0081|BPN_0083|BPN_0086|BPN_0087|BPN_0093|BPN_0100|BPN_0103|BPN_0117|BPN_0148|BPN_0149|BPN_0162|BPN_0163|BPN_0164|BPN_0165|BPN_0166|BPN_0182|BPN_0183|BPN_0184|BPN_0191|BPN_0195|BPN_0201|BPN_0209|BPN_0211|BPN_0212|BPN_0214|BPN_0219|BPN_0221|BPN_0237|BPN_0239|BPN_0245|BPN_0284|BPN_0303|BPN_0320|BPN_0328|BPN_0344|BPN_0355|BPN_0372|BPN_0418|BPN_0429|BPN_0448|BPN_0456|BPN_0562|BPN_0571|BPN_0572|BPN_0573|BPN_0581|BPN_0601|BPN_0613|BPN_0645|BPN_0706|BPN_0734|BPN_0775|BPN_0784|BPN_0788|BPN_0790|BPN_0805|BPN_0810|BPN_0811|BPN_0823|BPN_0825|BPN_0839|BPN_0851|BPN_0869|BPN_0871|BPN_0893|BPN_0932|BPN_0957|BPN_0996|BPN_1075|BPN_1103,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा",Not every cough has the same doshic diagnosis,PROVISIONAL_TEST_ONLY,
किञ्चित्कफ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0863,"बृंहण, बल्य, पित्तहृत्, वातहृत्, ग्राही, किञ्चित्कफकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कुष्ठ,Kushtha,classical skin-disease group,skin disorder|dermatosis,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0013|BPN_0016|BPN_0026|BPN_0055|BPN_0056|BPN_0073|BPN_0074|BPN_0075|BPN_0076|BPN_0077|BPN_0083|BPN_0085|BPN_0091|BPN_0093|BPN_0096|BPN_0099|BPN_0101|BPN_0114|BPN_0137|BPN_0140|BPN_0152|BPN_0170|BPN_0178|BPN_0179|BPN_0182|BPN_0183|BPN_0189|BPN_0195|BPN_0196|BPN_0197|BPN_0198|BPN_0199|BPN_0201|BPN_0214|BPN_0231|BPN_0234|BPN_0236|BPN_0237|BPN_0239|BPN_0242|BPN_0245|BPN_0250|BPN_0252|BPN_0256|BPN_0264|BPN_0288|BPN_0289|BPN_0294|BPN_0300|BPN_0320|BPN_0323|BPN_0324|BPN_0325|BPN_0328|BPN_0337|BPN_0339|BPN_0343|BPN_0351|BPN_0358|BPN_0386|BPN_0389|BPN_0395|BPN_0398|BPN_0401|BPN_0408|BPN_0409|BPN_0416|BPN_0424|BPN_0426|BPN_0428|BPN_0429|BPN_0431|BPN_0433|BPN_0436|BPN_0439|BPN_0452|BPN_0455|BPN_0456|BPN_0457|BPN_0458|BPN_0480|BPN_0556|BPN_0601|BPN_0608|BPN_0614|BPN_0616|BPN_0618|BPN_0620|BPN_0623|BPN_0624|BPN_0632|BPN_0635|BPN_0640|BPN_0643|BPN_0662|BPN_0729|BPN_0740|BPN_0776|BPN_0779|BPN_0780|BPN_0784|BPN_0787|BPN_0789|BPN_0816|BPN_0823|BPN_0836|BPN_0839|BPN_0917|BPN_0937|BPN_1047|BPN_1079|BPN_1092,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || दीपनी, वृष्या, रसायनी, वात-श्लेष्महर, रेचनी, श्वास-कास-उदरज्वरहर, कुष्ठ-प्रमेह-गुल्मार्शः प्लीह-शूल-आम-मारुतनाशक",Must never be translated automatically as leprosy,PROVISIONAL_TEST_ONLY,
कुष्ठरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0917,"श्लेष्मल, बल्य, निद्रालु, पिशिताशन, दूषयेद्रुधिर, पित्त-कुष्ठरोगकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कुष्ठवातास्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0096,कन्द-कुष्ठवातास्रनाशन,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कुष्ठादि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1092,विवर्ण-विरस-आम्ल-दुर्गन्ध-अम्ललवणयुक्त-कुष्ठादिकृत्-वर्जन,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कृच्छ्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0166,"कफ-श्वास-कासा-आर्शो-मूत्र-कृच्छ्रहृत्, वातहरी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कृमि,Krimi,worm / parasitic disorder,intestinal worms|parasitosis,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0020|BPN_0023|BPN_0026|BPN_0029|BPN_0030|BPN_0038|BPN_0042|BPN_0053|BPN_0055|BPN_0072|BPN_0075|BPN_0079|BPN_0085|BPN_0093|BPN_0099|BPN_0100|BPN_0162|BPN_0163|BPN_0167|BPN_0212|BPN_0234|BPN_0236|BPN_0239|BPN_0243|BPN_0245|BPN_0250|BPN_0256|BPN_0266|BPN_0289|BPN_0294|BPN_0311|BPN_0320|BPN_0338|BPN_0340|BPN_0361|BPN_0385|BPN_0396|BPN_0410|BPN_0413|BPN_0429|BPN_0431|BPN_0451|BPN_0454|BPN_0456|BPN_0458|BPN_0575|BPN_0601|BPN_0622|BPN_0723|BPN_0810|BPN_0824|BPN_0838|BPN_1079,"दीपन, कफ-वातजित्, पित्तकर, श्वास-शूल-कृमिहर || दीपन, पाचन, पित्तकर, भेदि, कफ-वातो-दरापह, आनाह-प्लीह-गुल्मघ्न, कृमि-श्वास-क्षयापह",May include broader classical concepts,PROVISIONAL_TEST_ONLY,
कृमिसमूह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0575,"कृमिसमूहनाशन –उदरग्रहापह, वात-पित्त-कफ-शूलिहित, कष्टनष्टरुचिरोचन, त्रिदोष-वह्निक्षय-वातरोग-पीडित -विशविह्वल - मन्दानल-बद्धगदप्रदान",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कृमी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0101,"पित्ता-अनिलापह, हृद्य, कफ-श्वास-कुष्ठ-दद्रु-कृमीहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
केवलवात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0109,"कफकृत्, नातिपित्तल, केवलवातहर, बलवीर्यकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कोष्ठशुद्धि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0073|BPN_0500|BPN_1008,"ज्वर-हृद्रोग-पित्त-अस्र-वातोदावर्त्त-शूलनुत्, रुच्य, कुष्ठ-पित्त-कफापह, कोष्ठशुद्धिकर, स्रंसन || मूत्रल, बल्य, कोष्ठशुद्धिकर, स्वादुतर, वृष्य, पित्ता-अनिलापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्रिमि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0025|BPN_0035|BPN_0074|BPN_0343|BPN_0734|BPN_0740,"वात-श्लेष्मह, द्वह्निवर्धिनी, अतीसार-श्वास-कण्ठामय-क्रिमिहन्त्री || अवृष्य, मूत्रल, दीपन, पाचन, ज्वरघ्न, रोचक, ग्राहि, त्रिदोषनुत्, तृष्णा-दाह-वमि-श्वास-कास-कार्श्य-क्रिमिप्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्रिमी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0103|BPN_0114|BPN_0182|BPN_0195|BPN_0394|BPN_0436|BPN_0441|BPN_0452|BPN_0573|BPN_0624|BPN_0811,"पाचनी, दीपनी, कफ-पित्ता-अतिसारा-आम-विष-कास-वमि-क्रिमीहर || वह्निकर, कफ-वात-व्रणो-उदरकुष्ठा-आर्शग्रहणी-गुल्म-शोफा-आनाह-ज्वर-क्रिमीहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्रिमीह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0326,"कफ-पित्तजित्, ज्वर-पित्ता-अस्र-व्रण-कण्डू-विष-क्रिमीहनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्लम,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1025|BPN_1113,"श्रमनाशन, क्लमहर, मूर्च्छा-पिपासापहं, तन्द्रा-च्छर्दि-विबन्ध-हृद्बलकर, निद्राहर, तर्पण, हृद्य, गुप्तरस, अजीर्णशमक, नित्यहित,  स्वच्छ, पीयूषवज्जीवन, रसकारण || क्लमहर, बल्य, भक्ताभिलाषकृत्, स्रोतोविशोधन, ह्लादि, कफ-तृष्णा-अनिलापह, अवृष्य, प्रीणन, शीघ्र-मलसञ्चयापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्लेद,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0755,"लोहित, श्लेष्म-पित्तजित्, अवृष्य, क्लेदकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्षतक्षय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0562,"रुचिकर, हृद्य, क्षतक्षयहर, तर्पण, रक्त-पित्तघ्न, पुष्टि-विष्टम्भ-शुक्रद, कोष्ठ-मारुत-हृत्, बल्य, वान्ति-वात-कफा-पह, ज्वरा-अतिसार-क्षुत्तृष्णा-कास-श्वास-निवारक, मद-मूर्च्छा-मरुत्-पित्त-मद्यो-द्भूतगदान्तकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्षतशोथ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0223,"शुक्रला, चक्षुष्या, क्षतशोथघ्नी, ग्राहिणी, ज्वरदाहनुत्, दोषत्रयहरी, ग्रहणी, अर्शो-अतिसारजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्षय,Kshaya,wasting / depletion disorder,consumption|tissue depletion,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0023|BPN_0056|BPN_0060|BPN_0070|BPN_0071|BPN_0086|BPN_0137|BPN_0164|BPN_0191|BPN_0237|BPN_0245|BPN_0280|BPN_0293|BPN_0427|BPN_0540|BPN_0562|BPN_0572|BPN_0575|BPN_0601|BPN_0614|BPN_0618|BPN_0624|BPN_0660|BPN_0795|BPN_0816|BPN_0869|BPN_0885|BPN_0929|BPN_0989|BPN_1075|BPN_1103,"बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित् || कफ-वात-क्षय-ज्वर-श्वासो-उर्ध्व-वात-तृट्कास-हिक्काऽ-अरुचि-र्वमीन्हर",Context dependent,PROVISIONAL_TEST_ONLY,
क्षिरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0146,"पित्तल, कर्णा-क्षिरोगघ्न, शीत-वात-कफ-प्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्षीण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0854,शोष-भस्मक-उन्माद-शुक्र-क्षीणकर,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
क्षुधाधिक्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1074,"शुक्रकर, निद्राकर, अभिष्यन्दि, क्षुधाधिक्यहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
गर्भ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0343,"वातला, गर्भकारिणी, क्षीरा, सृष्टमूत्रा, मलापहा, स्वादु-विष्टम्भिनी, वृष्या, कफ-कुष्ठ-क्रिमिप्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
गर्भस्रावक्षतासु,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0173,"वश्या, मङ्गलकान्तिदा, विषा-अलक्ष्मी-ग्रहोन्माद-गर्भस्रावक्षतासुहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
गर्भाशयविशुद्धि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0032|BPN_0662,"दीपन, संग्राही, पित्तल, मेध्य, गर्भाशयविशुद्धिकृत्, ज्वरघ्न, पाचन, वृष्य, बल्य, रुच्य, कफापह, चक्षुष्य, पवन-अध्मान-गुल्म-च्छर्द्य-तिसारहृत् || रक्तहर, मेध्य, दीपनपाचन, दाह-स्वेद-त्रिदोषजित्, ज्वरा-अपस्मार-कुष्ठघ्न, गर्भाशयविशुद्धिकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
गलघण्ड,Galaganda,goiter / neck swelling,goitre|neck swelling,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,Not every neck swelling is thyroid disease,PROVISIONAL_TEST_ONLY,
गुदजरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0441,"दीपन, वृष्य, सर, व्रण-गुल्मजित्, भग्नसंधानकृत्, दोष-ग्रहणि-अर्शः-क्रिमीहर, गुदजरोगजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
गुल्म,Gulma,abdominal mass/distension syndrome,abdominal lump|abdominal distension,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0016|BPN_0022|BPN_0023|BPN_0029|BPN_0032|BPN_0042|BPN_0051|BPN_0072|BPN_0077|BPN_0089|BPN_0114|BPN_0128|BPN_0129|BPN_0135|BPN_0182|BPN_0191|BPN_0231|BPN_0242|BPN_0246|BPN_0294|BPN_0300|BPN_0303|BPN_0313|BPN_0322|BPN_0335|BPN_0351|BPN_0441|BPN_0446|BPN_0451|BPN_0454|BPN_0457|BPN_0569|BPN_0581|BPN_0608|BPN_0614|BPN_0775|BPN_0785|BPN_0816|BPN_0824|BPN_0838,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर",Not automatically a tumor,PROVISIONAL_TEST_ONLY,
गुल्मशूल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0129,"अल्पगुणा, गुल्मशूलहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
गुल्मोउदर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0351,"कुष्ठहरी, ऊर्ध्वाधःकायशोधिनी, विष-दुर्गन्धकाघ्नी, गुल्मोउदरविनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
ग्रह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0434,"त्रिदोषघ्न, ग्रहजित्, गर्भपातन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
ग्रहणी,Grahani,Grahani disorder / malabsorption syndrome,chronic bowel dysfunction,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0026|BPN_0051|BPN_0114|BPN_0128|BPN_0223|BPN_0613|BPN_0776|BPN_0833|BPN_0838|BPN_0887,"वह्निकृत्, पाचन, ग्रहणी-कुष्ठ-शोथ-आर्श-कृमि-कासनुत्, वात-श्लेष्महरी, ग्राही, वातघ्न, श्लेष्म-पित्तहृत् || दीपनी, पित्त -उदर-समीर-आर्शो-ग्रहणी-गुल्म-शूलहृत्",Not identical to IBS,PROVISIONAL_TEST_ONLY,
ग्लानि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0933,"वृष्य, पुष्टिकर, कफमेदप्रद, बल्य, ग्लानिकृत्-मेहनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
चक्षुःशूलाभिघात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1081,"दीपन, वात-पित्तजित्, चक्षुःशूलाभिघातघ्न, नस्य-अश्च्योतनवर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
चाश्मरी,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0219,"बलकृत्, बस्तिशोधन, दीपन, वृष्य, पुष्टिद, चाश्मरीहर, प्रमेह-श्वास-कासा-आर्श-कृच्छ्र-हृद्रोग-वातनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
च्चातुर्थिक,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0406,"पित्त-कफ-च्चातुर्थिकहर, वातकर, प्रतिश्यायनिवारण",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
छर्दि,Chardi,vomiting,emesis,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0030|BPN_0071|BPN_0138|BPN_0144|BPN_0164|BPN_0170|BPN_0195|BPN_0206|BPN_0212|BPN_0237|BPN_0239|BPN_0242|BPN_0294|BPN_0307|BPN_0324|BPN_0474|BPN_0475|BPN_0573|BPN_0576|BPN_0613|BPN_0650|BPN_1003|BPN_1016|BPN_1017|BPN_1025,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || छर्दि-तृष्णा-अस्र-पित्तहृत्, नेत्रहित, वृष्य, ज्वर-व्रण-विषापह",Symptom/category,PROVISIONAL_TEST_ONLY,
जन्तु,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0180|BPN_0189|BPN_0346|BPN_0457,"ग्राहि, दीपनपाचन, कफ-पित्ता-अस्र-तृड्ज्वरा-अरुचि-जन्तुहृत् || त्रिदोषनुत्, मेधा-शुक्रकर, रुच्य, रक्षोघ्न, ज्वर-जन्तुजित्, कुष्ठा-आस्र-तृड्-दाह-दौर्गन्ध्य-तिलकालकह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
जलनिर्मलता,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0558,"नेत्र्य, जलनिर्मलताकर, वात-श्लेष्महर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
जिह्वाकुण्ठत्व,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1009,"जिह्वाकुण्ठत्वहर, कण्ठशोधिनी, रोचनी, वह्निबोधिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
ज्वर,Jvara,fever,pyrexia|febrile illness,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0013|BPN_0016|BPN_0019|BPN_0032|BPN_0035|BPN_0037|BPN_0056|BPN_0063|BPN_0066|BPN_0073|BPN_0074|BPN_0075|BPN_0076|BPN_0078|BPN_0079|BPN_0084|BPN_0086|BPN_0087|BPN_0093|BPN_0099|BPN_0104|BPN_0114|BPN_0144|BPN_0148|BPN_0159|BPN_0160|BPN_0170|BPN_0176|BPN_0180|BPN_0183|BPN_0189|BPN_0197|BPN_0199|BPN_0201|BPN_0204|BPN_0212|BPN_0213|BPN_0214|BPN_0220|BPN_0221|BPN_0223|BPN_0224|BPN_0231|BPN_0236|BPN_0237|BPN_0238|BPN_0239|BPN_0250|BPN_0284|BPN_0288|BPN_0294|BPN_0295|BPN_0303|BPN_0313|BPN_0322|BPN_0323|BPN_0324|BPN_0326|BPN_0355|BPN_0359|BPN_0376|BPN_0377|BPN_0429|BPN_0531|BPN_0562|BPN_0601|BPN_0635|BPN_0662|BPN_0706|BPN_0710|BPN_0711|BPN_0719|BPN_0723|BPN_0724|BPN_0726|BPN_0734|BPN_0780|BPN_0786|BPN_0787|BPN_0788|BPN_0789|BPN_0805|BPN_0810|BPN_0811|BPN_0817|BPN_0823|BPN_0825|BPN_0831|BPN_0838|BPN_0839|BPN_0862|BPN_0865|BPN_0869|BPN_0873|BPN_0885|BPN_0894|BPN_0989|BPN_0999|BPN_1003|BPN_1075|BPN_1090|BPN_1091|BPN_1093,"कफ-पित्तघ्नी, मेह-कुष्ठहरा, सरा, चक्षुष्या, दीपनी, रुच्या, विषम-ज्वरनाशिनी || मेदः-कफविनाशिनी, श्वास-कास-ज्वरहरी, वृष्या, मेध्या, अग्निवर्द्धिनी",Broad classical fever category,PROVISIONAL_TEST_ONLY,
ज्वरप्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0862,"पित्ता-असृक्-कफ-वातहृत्, संग्राही, रोचन, बल्य, ज्वरप्रशमन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
ज्वरान्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0805,"हृद्या, पित्त-कास-विषापहा, वात-पित्त-ज्वरान्तकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
तनुपुष्टि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0596,"तापकर, विध्वंसक, शुक्रनाश, वीर्यबलह, तनुपुष्टिहर, महागदापोषक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
ताप,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0596,"तापकर, विध्वंसक, शुक्रनाश, वीर्यबलह, तनुपुष्टिहर, महागदापोषक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
तिसार,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0032,"दीपन, संग्राही, पित्तल, मेध्य, गर्भाशयविशुद्धिकृत्, ज्वरघ्न, पाचन, वृष्य, बल्य, रुच्य, कफापह, चक्षुष्य, पवन-अध्मान-गुल्म-च्छर्द्य-तिसारहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
तृट्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0368,"दाह-तृट्प्रणुत्, मूत्र-कृच्छ्र-गुदव्याधि-रक्त-पित्तविनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
तृडर्त्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0237,"वातकृत्, स्वर्य, कफ-पित्ता-अस्रनाशन, हृद्य, तृडर्त्तिहृत्, श्वास-कास-ज्वर-च्छर्दि-मेह-कुष्ठ-क्षया-पह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
तृप्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0763,"श्लेष्मला, वातपित्तनुत्, अकण्ठ्या, पिच्छिला, निद्राशुक्रदा, रक्तपित्तजित्, बलदा, रुचिकृत्, पथ्या, बृंहणी, तृप्तिकारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
तृषा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0152|BPN_0206,"वातल, वीसर्प-दाह-विस्फोट-कुष्ठ-श्लेष्मा-अस्र-पित्तनुत्, गर्भसंस्थापन, रुच्य, वमि-व्रण-तृषाप्रणुत् || दोषत्रयापहा, अरुचि-श्वास-शोथा-अस्र-च्छर्दि-हिक्का-तृषाहरी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
